control,question,answer
ISM-1574,	What are some examples of managed services and cloud services?,"Managed Services include IT infrastructure management, network monitoring, help desk support, application hosting, server administration, desktop support, etc. Cloud services provide access to computing resources such as servers, networks, applications, and storage over the internet on demand. ISM-1574"
ISM-1575,What is the minimum notice period required before terminating a service?,One month ISM-1575
ISM-1575,	What are some examples of managed services and cloud services?,"Managed Services include IT infrastructure management, network monitoring, data backup and recovery, help desk support, application hosting, and more. Cloud services provide access to software applications over the internet without having to install them on your computer or server ISM-1575"
ISM-1575,What is the minimum notification period for the cessation of any services by a service provider?,One month ISM-1575
ISM-1578,How can an organisation ensure continuous access to its online services in case of disasters?,By having multiple locations with redundant infrastructure ISM-1578
ISM-1578,What does this notification mean?,"This means that there has been a change made to the configuration settings of your online services, such as adding new servers or changing server locations ISM-1578"
ISM-1579,How can availability planning and monitoring help ensure continuous delivery of cloud services?, By ensuring that all components are monitored and alerts generated when thresholds are exceeded ISM-1579
ISM-1580,How can service providers ensure continuous availability of online services?,Service providers can ensure continuous availability of online services by using multiple servers in different locations or data centers. ISM-1580
ISM-1581,What does continuous real-time monitoring mean? ,"It means checking and tracking the status of online services at all times, without any interruptions or delays - ISM-1581"
ISM-1581,How can service providers ensure continuous availability of online services?,Service providers can ensure continuous availability of online services by performing continuous real time monitoring of the availability of online services ISM-1581
